team1,team2,outcome,sd
EGY,SRB,-0.5975,2.1072464266865762
POR,SRB,1.140633333333333,1.749911579342075
ESP,SRB,1.0596,2.1173423345240088
MAR,SRB,-0.7459,1.8112809158164536
IRN,SRB,0.028666666666666646,2.1763975001879405
FRA,SRB,0.5075666666666665,1.4221464496957048
AUS,SRB,-0.25416666666666665,2.1325803601340096
PER,SRB,-0.8854000000000005,1.6441001163577105
DEN,SRB,0.16606666666666664,1.6381901519505895
ARG,SRB,0.8197666666666668,2.094015991754893
ISL,SRB,-0.7119999999999995,1.6890442949044253
CRO,SRB,0.13633333333333336,1.5839651378051953
NGA,SRB,0.2834999999999999,1.8095695161190506
BRA,SRB,1.1984333333333328,1.9032219312685383
CRC,SRB,-0.18816666666666662,2.0796515161524174
GER,SRB,1.5017333333333331,2.4624865952070194
MEX,SRB,0.36469999999999997,1.970514396342897
KOR,SRB,-0.5345999999999997,2.0741993639856977
BEL,SRB,0.3542333333333334,2.0169903931470894
PAN,SRB,-1.3805666666666672,1.8485581504465245
ENG,SRB,1.3951333333333336,1.9798131427385566
POL,SRB,-0.35086666666666644,1.637151251954714
SEN,SRB,-0.7288333333333336,1.77925503207397
COL,SRB,-0.06763333333333336,2.0270701031471043
JPN,SRB,-0.2589333333333333,1.920590122144494
EGY,GER,-1.2083333333333333,1.8709561900914715
ESP,GER,0.40976666666666645,2.0248634468529594
FRA,GER,-0.3256999999999999,1.9303590264068884
AUS,GER,-1.4062999999999999,1.9550654677215455
DEN,GER,-0.4715000000000002,2.0362653595098528
ARG,GER,-0.24553333333333335,2.2471553664909254
CRO,GER,-0.7898333333333334,2.1107257226253497
BRA,GER,0.45866666666666656,2.005372265874435
CRC,GER,-0.9767333333333332,1.8833771656216018
BEL,GER,-0.3051333333333333,2.1146700759625494
ENG,GER,0.6394333333333331,1.9059073313020816
COL,GER,-0.8123666666666667,2.1727986961298007
RUS,SWE,0.7771333333333333,1.9241424026691154
KSA,SWE,-0.7503666666666668,1.9041553486652205
EGY,SWE,-0.6956999999999997,2.0888771553120145
POR,SWE,1.0457666666666665,1.8200399729755057
ESP,SWE,0.8538666666666669,2.204166906655137
MAR,SWE,-0.9355333333333334,1.8676390861074732
IRN,SWE,0.0479,2.2099176092010064
FRA,SWE,0.4550666666666667,1.472791492599158
AUS,SWE,-0.2797333333333332,2.1459259417337595
PER,SWE,-0.775866666666667,1.8162303668563033
DEN,SWE,-0.001933333333333334,1.6851353595892686
ARG,SWE,0.5892333333333332,1.9076082510804706
ISL,SWE,-0.6891333333333332,1.7893791922241935
CRO,SWE,0.01153333333333332,1.4986155876612872
NGA,SWE,0.17973333333333338,1.7429264543435277
BRA,SWE,1.1467666666666665,2.0053602437447897
SUI,SWE,0.4147666666666667,1.8244206295394714
CRC,SWE,-0.2929333333333334,2.006150378437277
SRB,SWE,-0.2802666666666668,1.8074780140628042
GER,SWE,1.5235999999999996,2.5210635115214606
MEX,SWE,0.20910000000000015,1.9722182467869147
KOR,SWE,-0.6050333333333334,2.049939226877227
BEL,SWE,0.18706666666666663,2.098119859010547
PAN,SWE,-1.3953333333333333,1.931568482475803
ENG,SWE,1.2894333333333334,2.0819809935474347
POL,SWE,-0.6035000000000003,1.6623181330217656
SEN,SWE,-0.7896666666666666,1.9178862258096283
COL,SWE,-0.3594333333333335,2.0017158668782926
JPN,SWE,-0.3307333333333334,1.8460194214301981
KSA,MEX,-0.6825999999999999,1.5581779849623079
EGY,MEX,-0.1891333333333333,1.6942998874643675
ESP,MEX,0.4332666666666667,1.6825369968997166
MAR,MEX,-0.8095666666666668,1.55086156695767
IRN,MEX,-0.2347333333333334,1.614375838392057
FRA,MEX,0.4212,1.4231123762544808
AUS,MEX,-0.33366666666666656,1.7141804151424618
DEN,MEX,0.3752333333333335,1.438769363846222
ARG,MEX,0.3167666666666665,1.7764427121755166
ISL,MEX,-0.40759999999999996,1.5639300905057463
CRO,MEX,0.015366666666666667,1.4667505361791673
BRA,MEX,0.3660999999999999,1.580525834596719
CRC,MEX,-0.25373333333333337,1.7664897177614778
GER,MEX,1.8536666666666666,2.602698850199901
KOR,MEX,-0.3082666666666667,1.67069536334585
BEL,MEX,0.030599999999999992,1.7748390765066533
ENG,MEX,0.6399333333333335,1.4874494600613892
COL,MEX,0.2278,1.4180161531987485
JPN,MEX,-0.13069999999999996,1.5839849444949123
EGY,KOR,-0.08940000000000006,1.7731165193096488
ESP,KOR,0.5831666666666665,1.8143065862748287
IRN,KOR,0.10946666666666668,1.7200389870939365
FRA,KOR,0.7941333333333331,1.4817895654201143
AUS,KOR,-0.011433333333333373,1.6717174141193194
DEN,KOR,0.7309666666666665,1.5208959651637848
ARG,KOR,0.8324333333333337,1.8824730896349442
ISL,KOR,-0.3219000000000001,1.628430418508114
CRO,KOR,0.5355333333333333,1.5855067682963437
BRA,KOR,0.7830000000000001,1.7549198901873795
CRC,KOR,0.18793333333333326,1.7247842832858729
GER,KOR,1.982466666666666,2.6397601584338637
BEL,KOR,0.3639666666666667,1.9040765777975222
ENG,KOR,0.9856666666666668,1.5410172041877928
COL,KOR,0.5944999999999997,1.6309265033057243
JPN,KOR,0.20079999999999992,1.5641099762527586
AUS,BEL,-1.6448666666666667,2.0801458003898516
ARG,BEL,-0.3093333333333331,2.0721973853877955
KSA,PAN,0.42433333333333345,1.7983357493469352
EGY,PAN,0.7800333333333331,1.8658346685177407
ESP,PAN,1.3817000000000006,2.044199340872553
MAR,PAN,0.23500000000000013,1.901177282957478
IRN,PAN,0.9181999999999999,1.9962846485733423
FRA,PAN,1.101366666666667,1.7677583936628953
AUS,PAN,1.0243666666666664,1.9042327481594181
DEN,PAN,1.2549333333333328,2.0608139204440703
ARG,PAN,1.484666666666667,2.206892756834647
ISL,PAN,0.2616,1.7441772251781367
CRO,PAN,0.8505333333333331,1.861622617738376
NGA,PAN,0.9593333333333333,1.70310717130861
BRA,PAN,1.3445666666666671,2.1037514950507057
CRC,PAN,1.0334666666666665,2.0234725317181055
GER,PAN,1.6938666666666666,2.2710616807720787
MEX,PAN,1.1210000000000002,1.8611956696876206
KOR,PAN,0.9976333333333333,1.8923778187054952
BEL,PAN,1.251866666666667,2.057833890439479
ENG,PAN,1.5843666666666656,2.137385914404366
COL,PAN,0.8491666666666664,2.0999986414623804
JPN,PAN,1.0350333333333337,1.778981448278754
RUS,TUN,1.2772000000000001,1.9118313857094344
KSA,TUN,0.02556666666666667,1.5069981527594507
EGY,TUN,0.3874,1.846493760429072
POR,TUN,1.3636000000000004,1.7379471813766247
ESP,TUN,1.2810333333333341,2.2539064628175467
MAR,TUN,-0.046799999999999994,1.6406424411442648
IRN,TUN,0.4235666666666668,1.849355701835835
FRA,TUN,1.1645333333333332,1.5608709379891108
AUS,TUN,0.5845999999999999,1.9503305636491206
PER,TUN,0.19510000000000002,1.5840589663744327
DEN,TUN,1.2159333333333329,1.8388498760426675
ARG,TUN,1.980733333333333,1.9535692391648392
ISL,TUN,0.01030000000000002,1.6396898310811616
CRO,TUN,1.1277333333333337,1.623592268650215
NGA,TUN,0.8547999999999999,1.758908129764382
BRA,TUN,1.4456666666666667,1.8978336452624558
SUI,TUN,1.226566666666667,1.9592680058900762
CRC,TUN,0.8507999999999998,1.8016783239244267
SRB,TUN,0.9203333333333332,1.712170048439046
GER,TUN,1.9678666666666669,2.4908122651797
SWE,TUN,0.8781000000000005,1.8380478796248383
MEX,TUN,1.2411999999999999,1.8802209442979119
KOR,TUN,0.4983666666666666,1.6677561899738733
BEL,TUN,1.1844999999999994,2.2757720849683074
PAN,TUN,-0.6243666666666668,1.8726497595711327
ENG,TUN,1.4916999999999996,1.839388948073103
POL,TUN,0.4352666666666668,1.5716965533037506
SEN,TUN,0.07116666666666664,1.5622631283379662
COL,TUN,0.9545333333333333,1.8035108589615811
JPN,TUN,0.634833333333333,1.6964094513766736
